"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Chandrapur","Brahmapuri",2413,1958,69,336,369,1468,20,0.74,4.35,46.85,20.99,19.11,3.84,18.52
"Dec","Maharashtra","Chandrapur","Chandrapur",2947,2062,322,673,469,1947,37,2.22,6.87,34.55,14.22,14.61,2.84,19.07
"Dec","Maharashtra","Chandrapur","Chimur",2277,1848,146,296,315,1341,31,1.59,4.83,44.95,20.14,17.38,3.31,24.22
"Dec","Maharashtra","Chandrapur","Gondpipri",1101,712,54,133,126,560,11,1.21,4.20,40.60,15.94,14.66,2.69,18.97
"Dec","Maharashtra","Chandrapur","Jiwati",1164,940,161,311,295,974,31,3.05,8.94,39.79,17.78,23.71,5.51,31.96
"Dec","Maharashtra","Chandrapur","Korpana",1482,1127,153,341,308,1126,15,2.20,7.09,37.42,16.16,19.37,4.16,17.05
"Dec","Maharashtra","Chandrapur","Mul",1752,1211,72,148,197,839,14,1.22,3.73,50.13,20.49,16.67,3.17,19.72
"Dec","Maharashtra","Chandrapur","Nagbhir",1906,1462,69,224,247,961,11,0.84,3.55,40.82,17.72,14.67,3.00,10.38
"Dec","Maharashtra","Chandrapur","Pombhurna",666,564,14,62,83,353,4,0.49,2.68,43.28,19.85,15.19,2.89,12.12
"Dec","Maharashtra","Chandrapur","Rajura",1579,1370,131,272,229,926,23,2.12,6.52,47.66,22.14,17.87,3.54,27.38
"Dec","Maharashtra","Chandrapur","Sawali",1361,1061,68,206,277,926,19,1.13,4.57,40.33,17.67,18.45,4.25,17.92
"Dec","Maharashtra","Chandrapur","Sindewahi",1888,1760,67,182,276,1075,24,1.01,3.76,54.95,26.51,19.61,4.01,27.91
"Dec","Maharashtra","Chandrapur","Warora",1599,1233,107,334,225,946,15,1.50,6.18,39.65,17.26,16.15,3.10,16.85
"Dec","Maharashtra","Dhule","Dhule",10092,7795,634,2075,1921,6639,161,1.46,6.22,40.99,17.86,17.17,3.85,19.73
"Dec","Maharashtra","Dhule","Sakri",6825,5682,402,1141,1460,4962,91,1.44,5.51,44.61,20.27,18.65,4.24,17.50
"Dec","Maharashtra","Dhule","Shirpur",5726,4243,300,945,902,2866,62,1.13,4.71,37.67,16.03,12.61,3.02,14.00
"Dec","Maharashtra","Dhule","Sindkhede",2890,2641,265,696,858,2943,43,2.22,8.06,46.31,22.11,25.26,5.70,18.53
"Dec","Maharashtra","Gadchiroli","Aheri",1215,1141,128,348,461,1196,22,2.82,10.50,51.87,25.12,32.53,9.05,15.71
"Dec","Maharashtra","Gadchiroli","Armori",1862,1281,119,372,464,1632,23,1.97,8.13,51.88,21.15,33.77,7.48,21.30
"Dec","Maharashtra","Gadchiroli","Bhamragad",633,676,91,209,290,739,11,4.34,14.29,62.07,32.05,43.31,12.21,22.45
"Dec","Maharashtra","Gadchiroli","Chamorshi",2641,1692,138,604,648,2359,21,1.54,8.27,48.22,18.83,29.96,6.46,12.80
"Dec","Maharashtra","Gadchiroli","Desaiganj (Vadasa)",1163,901,42,242,278,1002,11,1.20,8.09,58.74,25.64,34.65,7.53,18.03
"Dec","Maharashtra","Gadchiroli","Dhanora",1389,1099,99,334,433,1245,23,2.20,9.61,55.02,24.30,34.91,9.01,19.66
"Dec","Maharashtra","Gadchiroli","Etapalli",808,846,94,238,342,817,23,3.33,11.76,58.26,29.80,37.38,11.03,23.71
"Dec","Maharashtra","Gadchiroli","Gadchiroli",2743,1665,193,629,699,2430,46,2.05,8.75,46.86,17.70,29.04,6.49,30.07
"Dec","Maharashtra","Gadchiroli","Korchi",1037,686,70,243,291,856,13,2.25,10.07,55.40,22.06,36.44,9.24,21.31
