month_n,state_n,district_n,no_enrolled,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,no_enrolled_dt,per_no_enrld
Nov,Maharashtra,Raigad,16703021,23.82699,3.69856,9.43988,12.98137,975109747,1.71
Nov,Maharashtra,Ratnagiri,8391098,29.75008,4.20421,13.80209,11.54791,975109747,0.86
Nov,Maharashtra,Sangli,20427896,20.88811,4.35329,8.21038,11.47541,975109747,2.09
Nov,Maharashtra,Satara,31608969,26.53207,3.57003,8.99577,12.63574,975109747,3.24
Nov,Maharashtra,Sindhudurg,1933785,39.58146,5.55099,18.80889,17.5,975109747,0.2
Nov,Maharashtra,Solapur,52232863,29.18321,4.68585,10.53072,14.45878,975109747,5.36
Nov,Maharashtra,Thane,45976632,33.79604,7.70787,16.71548,17.71362,975109747,4.72
Nov,Maharashtra,Wardha,5286932,40.5284,6.90873,17.80066,17.67857,975109747,0.54
Nov,Maharashtra,Washim,4389088,37.53992,6.33276,16.57336,18.06569,975109747,0.45
Nov,Maharashtra,Yavatmal,23075010,40.76344,6.66946,18.84628,18.41336,975109747,2.37
