month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Maharashtra,Ahmadnagar,37426,20429,1697,6609,4966,22404,466,3.33,23.19,10.44,13.19,3292,25745,79332,78519,84183,4029,33232,85351,81.71,77.47,92.95,92,98.63,89.51,28.14,88.84,11.51,18.84,95.65,95.11,77.13
Jan,Maharashtra,Akola,15006,9098,1074,2894,1899,7817,240,5.16,31.33,11.16,18.99,1153,9139,25418,24177,28506,1481,12286,28951,77.85,74.39,87.8,83.51,98.46,83.86,12.09,79.72,16.3,12.77,92.91,92.51,74.2
Jan,Maharashtra,Amravati,32780,22962,1815,5630,5649,23054,353,5.76,43.05,20.01,16.81,1789,13765,42130,40986,46499,2336,19060,47393,76.58,72.22,88.89,86.48,98.11,83.44,36.31,81.58,23.63,24.9,91.8,91.14,73.02
Jan,Maharashtra,Aurangabad,45566,26955,2299,7987,6908,27685,503,5.24,36.89,16.31,20.22,2378,20041,64681,62269,69832,2954,27186,71058,80.5,73.72,91.03,87.63,98.27,88.34,19.22,85.49,8.55,10.51,93.14,92.19,73.37
Jan,Maharashtra,Beed,26107,17527,2370,5507,3597,15672,427,5.94,32.83,13.28,20.66,1774,15348,46792,46589,50763,2355,20521,51682,75.33,74.79,90.54,90.15,98.22,87.07,12.22,84,7.13,9.21,92.8,92.01,73.65
Jan,Maharashtra,Bhandara,14249,8212,672,2254,1595,6747,142,4.3,32.97,11.45,13.1,941,6971,19328,19164,21082,1223,8955,21381,76.94,77.84,90.4,89.63,98.6,86.95,30.12,84.73,26.02,27.2,95.5,94.99,76.67
Jan,Maharashtra,Buldana,25159,13817,1195,4923,3465,17544,241,5.1,32.46,13.34,11.86,1955,15298,45550,44608,50212,2283,19821,50896,85.63,77.18,89.5,87.65,98.66,88.83,33.99,85,13.35,20.2,95.81,95.18,75.98
Jan,Maharashtra,Chandrapur,25270,19348,1294,3772,3580,14978,269,4.7,41.34,16.31,19.62,1223,10958,32775,31919,34983,1593,14440,35430,76.77,75.89,92.51,90.09,98.74,86.63,33.19,88.42,20.98,20.73,95.45,94.66,76.24
Jan,Maharashtra,Dhule,26858,20074,1441,4617,4780,17377,364,5.12,39.6,16.07,20.46,1634,13702,40005,38165,44372,2000,18441,44912,81.7,74.3,89.07,84.98,98.8,88.83,21.04,82.79,9.68,9.15,93.15,91.89,73.57
Jan,Maharashtra,Gadchiroli,17418,13459,1131,3641,4437,15288,205,8.03,51.87,30.26,19.96,868,7046,19521,18677,21719,1144,9923,22112,75.87,71.01,88.28,84.47,98.22,79.35,16.62,78.65,22.09,14.8,90.98,89.79,69.03
Jan,Maharashtra,Gondia,19572,9934,1185,3799,2747,11481,230,5.91,34.99,16.25,16.16,1230,8348,23161,22943,25707,1532,10729,26016,80.29,77.81,89.03,88.19,98.81,89.19,28.77,85.22,24.97,23.55,95.44,95.34,77.39
Jan,Maharashtra,Hingoli,14130,10112,1285,2911,2571,9914,191,6.16,35.55,15.21,19.27,886,8272,23437,22715,25353,1102,10862,25813,80.4,76.16,90.8,88,98.22,89.27,11.4,85.01,14.62,11.49,92.87,92.16,74.5
Jan,Maharashtra,Jalgaon,44134,20610,2393,9179,5481,26230,442,5.3,29.6,13.52,14.74,2765,22575,72401,68909,77185,3411,30441,78274,81.06,74.16,92.5,88.04,98.61,89.96,67.21,87.84,11.4,30.13,94.79,93.84,74.49
Jan,Maharashtra,Jalna,22680,16570,1843,5155,3179,12868,288,5.74,32.11,11.81,19.47,1404,12410,37172,36167,40472,1732,16510,41362,81.06,75.17,89.87,87.44,97.85,88.4,13.11,83.98,9.04,11.64,94.52,93.6,73.85
Jan,Maharashtra,Kolhapur,28181,11138,1197,5280,3159,14805,255,3.72,22.57,9.54,12.18,1970,15885,55875,56072,60289,2442,20911,60797,80.67,75.96,91.9,92.23,99.16,91.04,30.06,89,12.13,8.96,96.31,95.83,77.73
Jan,Maharashtra,Latur,17707,10912,1322,3118,2691,10359,332,4.82,31.04,11.33,19.89,1481,12697,38475,37635,40628,1952,17322,41574,75.87,73.3,92.55,90.53,97.72,83.71,18.07,85.47,12.54,14.2,92.15,91.17,73.02
