month_n,district_n,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,prnt_child_1yr_cmpltd_immunzt,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_intd_cf_past30d,prnt_chld_6to24mnths_intd_cf,prnt_anwmic_wmn,prnt_tenatus_cmpltd,prnt_wmn_1_anc_vst_dlvry,prnt_wmn_4_anc_vst_dlvry,prnt_wmn_rstg_drg_prgncy,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Mumbai City,28.85878,10.25541,15.98441,18.3727,10.57,76.84,72.6,82.16,90.39,6.43,21.08,54.99,5.6,88.77,88.34,70.71
Jan,Mumbai Suburban,33.93963,10.36962,17.04719,16.59729,16.02,80.44,75.37,86.15,93.29,8.14,24.7,59.31,6.18,94.57,94.78,76.58
Jan,Nagpur,32.08367,5.73754,12.98416,16.61754,22.77,82.78,74.76,85.5,93.73,15.22,36.26,73.24,14.06,92.72,93,73.54
Jan,Nanded,30.42937,4.83598,10.96917,16.54006,12.66,77.31,75.24,88,92.78,12.51,35,71.06,13.15,92.37,93.05,73.7
Jan,Nandurbar,63.22595,7.20732,37.50219,17.43284,15.93,77.86,72.34,84.15,91.64,15.01,37.56,67.18,12.23,91.35,92.59,68.45
Jan,Nashik,38.5883,6.25442,18.54627,17.24232,39.6,78,73.79,90.22,95.18,8.37,43.18,68.57,16.71,93.47,94.65,74.24
Jan,Osmanabad,30.9284,3.44712,12.39846,11.72305,15.94,81.08,76.91,89.3,95.72,11.43,38.01,74.42,16.37,95.29,95.93,76.44
Jan,Palghar,52.85617,3.82105,27.43411,18.22074,11.45,76.42,74.69,82.18,89.81,9.62,36.02,59.17,6.07,90.45,91.3,70.76
Jan,Parbhani,37.32359,4.60319,13.22823,22.54995,15.74,82.27,73.72,86.18,93.14,10.39,33.17,66.53,11.3,91.96,92.69,71.61
Jan,Pune,22.06642,4.31696,9.20069,11.38979,24.74,76.56,75.09,87.95,94.3,11.11,34.49,69.79,16.14,94.11,94.29,76.44
Jan,Raigad,21.74781,2.75414,8.19747,13.59447,27.49,79.67,74.34,84.04,91.41,10.18,41.04,71.92,16.51,92.36,92.46,71.15
Jan,Ratnagiri,29.13377,3.67549,13.21735,14.75,32.69,79.64,76.09,86.72,93.71,13.06,43.98,70.06,12.47,94.6,94.58,75.43
Jan,Sangli,18.79507,3.40832,7.40131,11.32293,13.82,77.53,73.3,85.94,91.66,13.03,32.96,66.69,8.15,91.12,91.39,72.22
Jan,Satara,23.11052,2.49652,7.89452,11.75779,31.51,76.94,76.55,88.5,95.82,15.97,39.41,73.9,13.62,95.64,95.84,78.13
Jan,Sindhudurg,38.33321,5.00905,17.68425,18.23529,29.19,80.99,71.6,82.85,90.51,17.63,46.1,71.33,10.91,91.24,91.62,71.99
Jan,Solapur,26.94054,3.70029,8.8087,13.43887,19.67,77.69,75.86,88.46,93.8,9.23,33.08,66.76,10.26,93.24,93.66,72.81
Jan,Thane,32.82755,6.92684,16.18467,17.48452,15.94,79.12,75.55,87.5,94.42,13.27,35.83,74.46,11.91,93.94,94.12,73.57
Jan,Wardha,39.51874,5.39932,16.86818,17.11618,23.13,74.32,76.07,81.04,93.58,16.25,40.99,76.93,17.35,94.31,95.07,76.69
Jan,Washim,35.01041,3.27323,13.19059,17.80264,24.5,75.84,73.79,86.71,93.54,14.86,39.68,74.67,17.25,92.72,93.63,74.27
Jan,Yavatmal,38.20059,5.1887,15.77498,16.90141,17.96,78.01,73.39,84.12,91.26,15.25,42.11,72.18,15.84,89.34,90.21,72.22
Nov,Ahmadnagar,25.3476,4.29816,11.79821,12.41117,22.24,77.55,77.64,88.42,94.54,11.1,40.03,70.53,14.66,94.38,94.85,76.27
Nov,Akola,34.7042,6.07091,13.1219,14.91294,8.65,72.98,71.15,77.75,85.32,15.7,41.39,64.26,7.88,89.14,89.57,71.36
Nov,Amravati,46.09879,7.58863,22.60592,16.57559,29.61,74.29,70.4,80.25,88.3,23.37,46.05,75.14,19.98,88.64,89.18,70.04
Nov,Aurangabad,38.63037,6.92237,18.83204,22.693,14.48,77.4,71.55,83.78,90.78,8.31,35.94,62.21,7.51,89.24,90.16,71.05
Nov,Beed,34.92217,6.67431,14.56086,17.50973,9.47,70.63,73.57,83.51,89.25,6.89,33.5,60.88,5.6,89.26,90.1,72.67
Nov,Bhandara,36.13741,5.54215,13.77063,14.75904,22.55,73.28,76.3,83.04,90.55,25.16,55.97,76.5,15.31,90.49,90.95,73.35
Nov,Buldana,35.52075,7.43942,16.22738,15.62071,27.48,82.4,77.6,87.49,93.73,12.8,43.01,69.68,15.04,94.63,95.16,75.58
Nov,Chandrapur,42.88335,5.96063,18.05028,21.02473,26.65,74.98,75.92,85.39,94.16,20.08,47.57,74,14.97,94.24,94.82,74.47
Nov,Dhule,44.60658,6.88564,19.11742,19.90338,16.34,80.43,73.71,83.36,88.97,9.3,36.49,62.45,7.37,88.27,89.39,68.25
Nov,Gadchiroli,53.838,10.04518,33.51566,19.86301,12,68.13,66.56,76.16,81.69,19.95,46.16,67.55,12.42,84.55,85.56,66.05
Nov,Gondia,33.80105,5.87017,14.41453,17.74295,22.31,78.08,76.86,86.86,93.88,25.37,54.47,78.03,15.01,94.21,94.5,74.72
Nov,Hingoli,40.08465,7.90944,19.58449,20.86882,6.53,74.71,68.93,79.52,84.76,13.64,36.68,62.33,3.82,83.51,84.29,66.72
Nov,Jalgaon,33.21621,6.60691,15.40568,14.89055,44.74,76.96,75.42,88.91,92.67,11.56,45.98,65.96,8.4,91.74,92.81,73
Nov,Jalna,34.76086,7.88583,13.99259,23.04251,9.76,77.68,75.01,87.44,91.78,8.88,37,64.54,7.8,93.02,93.75,75.15
Nov,Kolhapur,23.31089,4.54369,10.09025,13.63636,24.89,76.27,75.06,89.43,94.92,12.56,40.28,66.88,5.86,93.4,94.01,73.13
Nov,Latur,32.18019,6.41171,13.00703,18.5845,8.27,69.43,71.2,82.92,88.99,12.26,34.58,64.59,7.52,88.53,89.57,70.79
