"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Jan","Maharashtra","Ratnagiri",11962,5453,332,1863,1305,7242,118,0.56,3.68,29.13,9.12,13.22,2.02,14.75
"Jan","Maharashtra","Sangli",17107,6871,888,3457,1644,8604,196,0.70,3.41,18.80,5.39,7.40,1.19,11.32
"Jan","Maharashtra","Satara",19643,9935,596,2597,1832,9409,200,0.47,2.50,23.11,7.76,7.89,1.29,11.76
"Jan","Maharashtra","Sindhudurg",5664,4308,167,1133,855,3956,62,0.64,5.01,38.33,16.56,17.68,3.14,18.24
"Jan","Maharashtra","Solapur",35606,19145,1799,5714,3535,17307,399,0.89,3.70,26.94,9.42,8.81,1.49,13.44
"Jan","Maharashtra","Thane",43355,23907,3225,10948,7094,29898,367,1.58,6.93,32.83,11.67,16.18,3.10,17.48
"Jan","Maharashtra","Wardha",11722,8659,728,2054,2356,8777,165,1.41,5.40,39.52,16.79,16.87,3.57,17.12
"Jan","Maharashtra","Washim",14985,8897,506,1725,2008,7781,175,0.74,3.27,35.01,13.04,13.19,2.71,17.80
"Jan","Maharashtra","Yavatmal",30013,22271,1642,5451,5371,19087,360,1.20,5.19,38.20,16.27,15.77,3.46,16.90
"Nov","Maharashtra","Ahmadnagar",38634,23349,2485,8012,6127,24283,489,1.02,4.30,25.35,9.55,11.80,2.38,12.41
"Nov","Maharashtra","Akola",13171,9326,1265,2661,2088,7850,197,1.96,6.07,34.70,14.39,13.12,2.76,14.91
"Nov","Maharashtra","Amravati",29860,23214,2610,6111,6573,22977,364,2.27,7.59,46.10,20.16,22.61,5.03,16.58
"Nov","Maharashtra","Aurangabad",41460,27146,3441,8835,8247,28625,632,1.94,6.92,38.63,15.29,18.83,4.21,22.69
"Nov","Maharashtra","Beed",26292,19184,2633,6036,4108,15964,405,2.03,6.67,34.92,14.73,14.56,2.98,17.51
"Nov","Maharashtra","Bhandara",13439,8779,905,2494,1945,7374,196,1.48,5.54,36.14,14.28,13.77,2.87,14.76
"Nov","Maharashtra","Buldana",23549,15348,2443,5690,4866,19958,341,2.23,7.44,35.52,14.02,16.23,3.18,15.62
"Nov","Maharashtra","Chandrapur",24608,20034,1962,4233,4257,15990,357,1.89,5.96,42.88,19.24,18.05,3.80,21.02
"Nov","Maharashtra","Dhule",23510,20539,1898,4890,5487,17820,412,1.93,6.89,44.61,20.80,19.12,4.50,19.90
"Nov","Maharashtra","Gadchiroli",16747,13714,1445,4225,5261,15817,261,2.56,10.05,53.84,24.24,33.52,8.37,19.86
"Nov","Maharashtra","Gondia",16712,9907,1323,3296,2544,9669,283,1.68,5.87,33.80,12.58,14.41,3.00,17.74
"Nov","Maharashtra","Hingoli",10849,8849,1188,2690,2916,9631,245,2.42,7.91,40.08,18.01,19.58,4.55,20.87
"Nov","Maharashtra","Jalgaon",45342,26408,3839,10410,6882,29411,517,1.78,6.61,33.22,12.23,15.41,2.92,14.89
"Nov","Maharashtra","Jalna",22363,17523,3035,5980,4281,14227,412,2.65,7.89,34.76,15.27,13.99,3.24,23.04
"Nov","Maharashtra","Kolhapur",27093,11925,1726,5873,3560,14955,330,1.03,4.54,23.31,7.12,10.09,1.94,13.64
"Nov","Maharashtra","Latur",16965,11695,1986,3711,3425,11332,386,2.24,6.41,32.18,13.13,13.01,3.02,18.58
