"month_n","state_n","district_n","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Nov","Maharashtra","Gondia",1339,26174,8118,22842,3339,23317,25777,20197,1715,10562,26174,78.08,76.86,87.27,89.08,98.48,86.86,24.54,81.93
"Nov","Maharashtra","Hingoli",1037,23046,7589,20370,3095,20241,22565,6102,1388,11009,23046,74.71,68.93,88.39,87.83,97.91,79.52,7.18,74.92
"Nov","Maharashtra","Jalgaon",3154,76436,23601,69868,11172,67195,75227,124807,4098,31293,76436,76.96,75.42,91.41,87.91,98.42,88.91,49.22,84.70
"Nov","Maharashtra","Jalna",1691,40267,12703,35580,5958,35193,39352,14828,2177,16936,40267,77.68,75.01,88.36,87.40,97.73,87.44,10.74,81.10
"Nov","Maharashtra","Kolhapur",2185,59680,15912,53940,8313,54985,59105,53265,2865,21198,59680,76.27,75.06,90.38,92.13,99.04,89.43,27.38,85.79
"Nov","Maharashtra","Latur",1706,40158,12771,36635,5599,36305,39214,12487,2457,17937,40158,69.43,71.20,91.23,90.41,97.65,82.92,9.10,81.19
"Nov","Maharashtra","Mumbai City",414,14957,3635,13306,1766,13440,14827,6342,577,5277,14957,71.75,68.88,88.96,89.86,99.13,77.12,9.93,74.03
"Nov","Maharashtra","Mumbai Suburban",1905,76933,17947,66970,9427,70851,76268,44760,2569,24427,76933,74.15,73.47,87.05,92.09,99.14,83.00,15.25,78.20
"Nov","Maharashtra","Nagpur",2615,59080,18301,52951,8115,52225,58133,41798,3423,25009,59080,76.39,73.18,89.63,88.40,98.40,82.33,21.10,79.58
"Nov","Maharashtra","Nanded",3020,64859,22064,58303,8885,57881,63361,24630,4071,29299,64859,74.18,75.31,89.89,89.24,97.69,85.47,11.20,81.30
"Nov","Maharashtra","Nandurbar",1626,34029,12298,29317,4593,29057,33376,17405,2207,16767,34029,73.67,73.35,86.15,85.39,98.08,83.60,14.97,77.16
"Nov","Maharashtra","Nashik",3261,103653,29067,92423,15383,92001,101966,106405,4480,39122,103653,72.79,74.30,89.17,88.76,98.37,87.28,31.07,83.06
"Nov","Maharashtra","Osmanabad",1334,31148,9159,28603,4465,28574,30522,13690,1712,12085,31148,77.92,75.79,91.83,91.74,97.99,88.03,13.69,85.83
"Nov","Maharashtra","Palghar",1748,41549,11934,35639,5688,37334,40949,16202,2509,17208,41549,69.67,69.35,85.78,89.86,98.56,75.83,9.97,69.75
"Nov","Maharashtra","Parbhani",1138,29087,8502,25888,4007,26155,28543,15270,1485,11937,29087,76.63,71.22,89.00,89.92,98.13,84.16,15.02,79.81
"Nov","Maharashtra","Pune",2987,105441,25480,94268,14025,97675,104143,75934,4018,35162,105441,74.34,72.46,89.40,92.63,98.77,82.95,20.38,80.09
"Nov","Maharashtra","Raigad",1379,32485,9382,28924,4640,30173,32117,31580,1829,13344,32485,75.40,70.31,89.04,92.88,98.87,78.91,26.48,77.35
"Nov","Maharashtra","Ratnagiri",693,19073,4963,16748,2575,18228,18907,23196,920,6866,19073,75.33,72.28,87.81,95.57,99.13,84.90,33.64,79.09
"Nov","Maharashtra","Sangli",1548,41131,11696,37496,5832,37743,40658,17845,2111,17286,41131,73.33,67.66,91.16,91.76,98.85,76.64,12.23,76.53
"Nov","Maharashtra","Satara",1683,44838,12770,40870,6204,42430,44355,45344,2327,17087,44838,72.32,74.74,91.15,94.63,98.92,85.37,30.35,84.87
"Nov","Maharashtra","Sindhudurg",315,8078,2256,6707,1177,7511,8007,9149,405,3271,8078,77.78,68.97,83.03,92.98,99.12,80.67,30.21,72.00
"Nov","Maharashtra","Solapur",3246,77695,23063,69719,10957,70942,76625,46978,4376,31207,77695,74.18,73.90,89.73,91.31,98.62,83.83,17.91,81.14
"Nov","Maharashtra","Thane",2222,72231,17850,64857,9522,64989,71394,39013,2959,24185,72231,75.09,73.81,89.79,89.97,98.84,85.11,15.01,82.49
"Nov","Maharashtra","Wardha",901,20690,6697,18417,2928,18793,20340,14106,1327,8862,20690,67.90,75.57,89.01,90.83,98.31,84.07,20.58,82.39
"Nov","Maharashtra","Washim",969,22369,7275,19740,3314,19202,21839,18213,1363,9853,22369,71.09,73.84,88.25,85.84,97.63,85.74,24.30,80.19
"Nov","Maharashtra","Yavatmal",2012,46455,15095,41837,6657,41031,45548,27659,2775,21504,46455,72.50,70.20,90.06,88.32,98.05,79.59,16.67,78.17
