"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Ratnagiri","Lanja",44,371,185,346,339,257,10,261,11.86,49.87,2.70,70.35,91.37,93.26,69.27
"Nov","Maharashtra","Ratnagiri","Mandangad",43,190,94,170,168,129,17,129,22.63,49.47,8.95,67.89,88.42,89.47,67.89
"Nov","Maharashtra","Ratnagiri","Rajapur",57,404,210,386,388,305,94,328,14.11,51.98,23.27,81.19,96.04,95.54,75.50
"Nov","Maharashtra","Ratnagiri","Ratnagiri",139,1317,573,1228,1221,962,135,920,10.55,43.51,10.25,69.86,92.71,93.24,73.04
"Nov","Maharashtra","Ratnagiri","Sangameshwar",80,532,289,515,512,408,62,371,15.04,54.32,11.65,69.74,96.24,96.80,76.69
"Nov","Maharashtra","Sangli","Atpadi",84,640,216,585,534,463,20,353,13.13,33.75,3.13,55.16,83.44,91.41,72.34
"Nov","Maharashtra","Sangli","Jat",78,1986,373,1030,1048,715,29,694,3.93,18.78,1.46,34.94,52.77,51.86,36.00
"Nov","Maharashtra","Sangli","Kadegaon",83,773,301,645,655,515,47,498,10.74,38.94,6.08,64.42,84.73,83.44,66.62
"Nov","Maharashtra","Sangli","Kavathemahankal",146,965,431,903,913,711,58,715,15.13,44.66,6.01,74.09,94.61,93.58,73.68
"Nov","Maharashtra","Sangli","Khanapur (Vita)",61,517,193,420,427,310,27,313,11.80,37.33,5.22,60.54,82.59,81.24,59.96
"Nov","Maharashtra","Sangli","Miraj",176,1341,391,1276,1287,990,60,814,13.12,29.16,4.47,60.70,95.97,95.15,73.83
"Nov","Maharashtra","Sangli","Palus",68,734,197,468,474,419,7,401,9.26,26.84,0.95,54.63,64.58,63.76,57.08
"Nov","Maharashtra","Sangli","Sangli",361,2224,733,2110,2110,1603,155,1466,16.23,32.96,6.97,65.92,94.87,94.87,72.08
"Nov","Maharashtra","Sangli","Shirala",90,649,283,607,613,500,48,470,13.87,43.61,7.40,72.42,94.45,93.53,77.04
"Nov","Maharashtra","Sangli","Tasgaon",149,1261,451,1071,1072,822,44,796,11.82,35.77,3.49,63.12,85.01,84.93,65.19
"Nov","Maharashtra","Sangli","Walwa",231,1714,624,1609,1612,1232,186,1131,13.48,36.41,10.85,65.99,94.05,93.87,71.88
"Nov","Maharashtra","Satara","Jaoli",51,356,159,338,337,282,22,261,14.33,44.66,6.18,73.31,94.66,94.94,79.21
"Nov","Maharashtra","Satara","Karad",435,2268,934,2069,2069,1639,315,1732,19.18,41.18,13.89,76.37,91.23,91.23,72.27
"Nov","Maharashtra","Satara","Khandala",122,1135,431,884,903,538,44,645,10.75,37.97,3.88,56.83,79.56,77.89,47.40
