"month_n","state_n","district_n","sub_district","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Nov","Maharashtra","Sindhudurg","Vengurla",35,773,260,620,110,741,764,795,41,335,773,85.37,77.61,80.21,95.86,98.84,84.62,29.15,74.07
"Nov","Maharashtra","Solapur","Akkalkot",204,5493,1563,4790,768,4712,5382,2486,298,2122,5493,68.46,73.66,87.20,85.78,97.98,87.77,14.41,82.52
"Nov","Maharashtra","Solapur","Barshi",380,8752,2550,7588,1235,8005,8672,6824,474,3320,8752,80.17,76.81,86.70,91.46,99.09,85.76,24.64,80.71
"Nov","Maharashtra","Solapur","Karmala",185,4306,1303,4007,648,4035,4261,1855,226,1671,4306,81.86,77.98,93.06,93.71,98.95,85.04,13.16,85.88
"Nov","Maharashtra","Solapur","Madha",213,6173,1644,5611,850,5676,6085,2724,313,2394,6173,68.05,68.67,90.90,91.95,98.57,78.13,12.48,78.87
"Nov","Maharashtra","Solapur","Malshiras",458,10295,3323,9598,1446,9791,10207,9638,614,4254,10295,74.59,78.11,93.23,95.10,99.15,88.06,28.57,87.87
"Nov","Maharashtra","Solapur","Mangalvedhe",154,3900,1278,3353,544,3603,3822,2206,234,1817,3900,65.81,70.34,85.97,92.38,98.00,78.05,15.87,72.92
"Nov","Maharashtra","Solapur","Mohol",288,5965,1788,5405,885,5501,5879,3626,387,2509,5965,74.42,71.26,90.61,92.22,98.56,82.56,17.44,79.46
"Nov","Maharashtra","Solapur","Pandharpur",458,10406,3038,9227,1465,9557,10268,7793,596,4028,10406,76.85,75.42,88.67,91.84,98.67,87.00,22.28,80.99
"Nov","Maharashtra","Solapur","Sangole",232,5820,1774,5292,796,5157,5743,2371,328,2543,5820,70.73,69.76,90.93,88.61,98.68,75.09,11.55,77.21
"Nov","Maharashtra","Solapur","Solapur North",383,10156,2696,9113,1392,9092,10019,3750,505,3787,10156,75.84,71.19,89.73,89.52,98.65,81.79,10.19,79.09
"Nov","Maharashtra","Solapur","Solapur South",291,6429,2106,5735,928,5813,6287,3705,401,2762,6429,72.57,76.25,89.21,90.42,97.79,88.55,17.93,83.75
"Nov","Maharashtra","Thane","Ambarnath",178,6641,1634,5978,852,6053,6579,4144,238,2172,6641,74.79,75.23,90.02,91.15,99.07,88.20,17.68,85.16
"Nov","Maharashtra","Thane","Bhiwandi",539,17327,4220,15352,2319,14785,17040,8674,745,5932,17327,72.35,71.14,88.60,85.33,98.34,83.42,14.34,79.29
"Nov","Maharashtra","Thane","Kalyan",261,8870,2051,7911,1123,8048,8820,7035,330,2810,8870,79.09,72.99,89.19,90.73,99.44,83.37,22.18,81.16
"Nov","Maharashtra","Thane","Murbad",137,3688,1106,3414,535,3405,3642,2044,220,1451,3688,62.27,76.22,92.57,92.33,98.75,86.71,16.19,87.72
"Nov","Maharashtra","Thane","Shahapur",259,6908,1973,6180,1056,6208,6801,2465,346,2740,6908,74.86,72.01,89.46,89.87,98.45,80.37,10.87,81.12
"Nov","Maharashtra","Thane","Thane",752,25961,6158,23537,3270,23923,25708,12601,960,8137,25961,78.33,75.68,90.66,92.15,99.03,87.34,12.77,84.07
"Nov","Maharashtra","Thane","Ulhasnagar",96,2836,708,2485,367,2567,2804,2050,120,943,2836,80.00,75.08,87.62,90.51,98.87,87.38,19.97,83.11
"Nov","Maharashtra","Wardha","Arvi",89,1713,552,1477,232,1517,1696,1678,126,741,1713,70.63,74.49,86.22,88.56,99.01,84.06,29.14,81.24
"Nov","Maharashtra","Wardha","Ashti",52,1253,420,1152,189,1113,1243,2687,82,537,1253,63.41,78.21,91.94,88.83,99.20,90.43,67.40,88.96
"Nov","Maharashtra","Wardha","Deoli",75,1679,585,1513,209,1497,1657,1038,128,744,1679,58.59,78.63,90.11,89.16,98.69,87.82,18.06,86.75
"Nov","Maharashtra","Wardha","Hinganghat",88,2199,667,1927,317,2017,2153,1395,134,890,2199,65.67,74.94,87.63,91.72,97.91,81.07,19.21,81.48
"Nov","Maharashtra","Wardha","Karanja",62,1443,489,1294,217,1205,1417,931,116,633,1443,53.45,77.25,89.67,83.51,98.20,86.11,19.82,85.36
"Nov","Maharashtra","Wardha","Samudrapur",102,1997,669,1685,276,1794,1936,1560,136,1001,1997,75.00,66.83,84.38,89.83,96.95,83.89,22.45,75.83
"Nov","Maharashtra","Wardha","Seloo",90,2041,661,1869,301,1890,2017,1072,128,858,2041,70.31,77.04,91.57,92.60,98.82,85.51,15.97,87.13
"Nov","Maharashtra","Wardha","Wardha",343,8365,2654,7500,1187,7760,8221,3745,477,3458,8365,71.91,76.75,89.66,92.77,98.28,82.66,13.66,81.09
"Nov","Maharashtra","Washim","Karanja",240,5473,1631,4770,789,4386,5319,4270,302,2258,5473,79.47,72.23,87.16,80.14,97.19,85.39,24.13,79.30
"Nov","Maharashtra","Washim","Malegaon",128,3556,1181,3104,510,3131,3486,706,207,1703,3556,61.84,69.35,87.29,88.05,98.03,77.51,5.63,75.28
"Nov","Maharashtra","Washim","Mangrulpir",131,2827,946,2454,447,2598,2774,2277,187,1209,2827,70.05,78.25,86.81,91.90,98.13,89.22,24.34,81.66
"Nov","Maharashtra","Washim","Manora",154,3679,1169,3402,566,3214,3603,5576,224,1503,3679,68.75,77.78,92.47,87.36,97.93,92.48,47.36,88.29
"Nov","Maharashtra","Washim","Risod",152,3122,1063,2580,425,2567,2993,1208,236,1559,3122,64.41,68.18,82.64,82.22,95.87,77.41,10.59,69.39
"Nov","Maharashtra","Washim","Washim",164,3712,1285,3430,577,3306,3664,4176,207,1621,3712,79.23,79.27,92.40,89.06,98.71,92.91,34.28,87.88
"Nov","Maharashtra","Yavatmal","Arni",134,3349,1049,3118,428,2951,3310,1048,178,1422,3349,75.28,73.77,93.10,88.12,98.84,78.68,9.41,83.41
"Nov","Maharashtra","Yavatmal","Babulgaon",65,1515,496,1407,220,1337,1491,841,92,687,1515,70.65,72.20,92.87,88.25,98.42,86.61,16.72,87.66
"Nov","Maharashtra","Yavatmal","Darwha",145,3162,1038,2976,472,2986,3137,4931,168,1338,3162,86.31,77.58,94.12,94.43,99.21,87.73,47.22,87.66
"Nov","Maharashtra","Yavatmal","Digras",95,2669,857,2431,406,2412,2643,804,156,1135,2669,60.90,75.51,91.08,90.37,99.03,92.06,9.40,87.26
"Nov","Maharashtra","Yavatmal","Ghatanji",103,2185,716,1990,343,1882,2153,1351,123,904,2185,83.74,79.20,91.08,86.13,98.54,92.20,19.23,87.74
"Nov","Maharashtra","Yavatmal","Kalamb",81,1738,605,1594,254,1476,1698,647,105,876,1738,77.14,69.06,91.71,84.93,97.70,82.47,10.57,82.21
"Nov","Maharashtra","Yavatmal","Kelapur",130,2300,877,2010,341,1997,2220,1890,177,1093,2300,73.45,80.24,87.39,86.83,96.52,83.17,24.27,80.59
"Nov","Maharashtra","Yavatmal","Mahagaon",197,4257,1456,3867,598,3800,4157,1770,261,2002,4257,75.48,72.73,90.84,89.26,97.65,84.58,11.52,80.01
"Nov","Maharashtra","Yavatmal","Maregaon",59,1243,432,1096,174,1127,1223,757,83,571,1243,71.08,75.66,88.17,90.67,98.39,88.78,17.40,82.10
"Nov","Maharashtra","Yavatmal","Ner",91,2216,736,2074,355,2095,2162,3060,120,960,2216,75.83,76.67,93.59,94.54,97.56,89.20,44.58,88.56
"Nov","Maharashtra","Yavatmal","Pusad",217,4763,1598,4157,702,4172,4652,502,317,2713,4763,68.45,58.90,87.28,87.59,97.67,66.16,2.36,61.93
"Nov","Maharashtra","Yavatmal","Ralegaon",58,1735,497,1488,224,1514,1690,1663,110,828,1735,52.73,60.02,85.76,87.26,97.41,73.93,25.39,73.92
"Nov","Maharashtra","Yavatmal","Umarkhed",157,3789,1209,3194,512,3398,3690,387,263,2044,3789,59.70,59.15,84.30,89.68,97.39,61.54,2.30,59.72
"Nov","Maharashtra","Yavatmal","Wani",103,2233,717,2098,353,1823,2190,1934,127,1028,2233,81.10,69.75,93.95,81.64,98.07,86.73,25.71,86.84
"Nov","Maharashtra","Yavatmal","Yavatmal",326,7933,2368,7035,1066,6913,7788,5501,422,3288,7933,77.25,72.02,88.68,87.14,98.17,78.96,20.65,79.45
"Nov","Maharashtra","Yavatmal","Zari-Jamani",51,1368,444,1302,209,1148,1344,573,73,615,1368,69.86,72.20,95.18,83.92,98.25,86.01,12.87,90.17
