month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Palghar,34581,33153,1025,5223,8257,30796,359,6248,67734,39053,0.82,4.99,26.45,54.05,6.12,28.95,16.32,1848,43448,12152,37296,6179,38940,42848,18156,2482,17210,43448,74.46,70.61,85.84,89.62,98.62,79.6,11.35,74.57,1208,12563,5002,11183,11296,8418,548,9.62,4.36,89.91,89.02,67.01
Dec,Maharashtra,Parbhani,15502,11556,1071,2761,2628,9333,230,3832,27058,11961,1.51,5.4,16.25,38.04,3.06,13.95,21.42,1007,29592,8631,26561,4186,26510,29072,16440,1256,11929,29592,80.18,72.35,89.76,89.59,98.24,85.94,16.21,82.4,898,8803,3193,8088,8129,6298,770,10.2,8.75,92.34,91.88,71.54
Dec,Maharashtra,Pune,44703,22713,3869,10444,5967,28120,399,14313,67416,34087,1.42,5.24,8.3,24.64,1.82,10.41,11.86,2979,108683,25965,97788,14540,100663,107371,93322,3853,36024,108683,77.32,72.08,89.98,92.62,98.79,85.36,25.04,83.07,2817,25962,9379,23926,23957,18925,3145,10.85,12.11,92.28,92.16,72.9
Dec,Maharashtra,Raigad,13202,6494,634,2134,1856,6785,193,2768,19696,8641,0.72,3.15,7.38,22.38,1.85,8.62,12.76,1291,33665,9715,30134,4925,31310,33277,34867,1695,13476,33665,76.17,72.09,89.51,93,98.85,81.87,29.15,80.24,966,9312,4173,8477,8479,6543,1258,10.37,13.51,91.05,91.03,70.26
Dec,Maharashtra,Ratnagiri,11760,5825,431,2046,1368,7422,126,2477,17585,8790,0.74,4.25,9.98,30.13,2.14,13.72,15.67,697,19520,5223,17175,2634,18634,19366,24312,908,7113,19520,76.76,73.43,87.99,95.46,99.21,87.16,35.15,81.41,684,5173,2490,4884,4876,3951,502,13.22,9.7,94.26,94.41,76.38
Dec,Maharashtra,Sangli,16743,7249,1115,3750,1794,8302,166,4865,23992,10096,0.92,4,5.95,19.69,1.35,7.57,9.9,1532,43800,12171,40083,6384,40389,43333,20538,1978,17355,43800,77.45,70.13,91.51,92.21,98.93,82.74,14.04,81.38,1658,12857,4496,11409,11434,8668,932,12.9,7.25,88.93,88.74,67.42
Dec,Maharashtra,Satara,20475,10839,824,3033,1930,9639,200,3857,31314,11569,0.64,2.98,8.38,24.21,1.38,8.25,10.6,1625,45414,12595,41547,6501,43040,44994,49703,2161,17133,45414,75.2,73.51,91.49,94.77,99.08,87.21,33.46,86.64,1922,12271,5254,11627,11656,9102,1770,15.66,14.42,94.99,94.75,74.17
Dec,Maharashtra,Sindhudurg,5214,4181,198,1054,830,3775,55,1252,9395,4605,0.83,5.25,17.5,39.33,3.29,18.25,14.86,337,8342,2311,7029,1182,7791,8265,9544,417,3259,8342,80.82,70.91,84.26,93.39,99.08,82.37,31.5,75.43,426,2348,1186,2145,2140,1664,272,18.14,11.58,91.14,91.35,70.87
Dec,Maharashtra,Solapur,34767,19652,2239,5853,3860,18047,459,8092,54419,21907,1.17,4.22,10.25,28.38,1.66,9.45,13.99,2931,78998,22705,71362,11396,72102,77906,53242,3809,30733,78998,76.95,73.88,90.33,91.27,98.62,86.93,20.36,83.77,2055,22327,7997,20587,20692,15913,2074,9.2,9.29,92.68,92.21,71.27
Dec,Maharashtra,Thane,40937,24124,3411,10585,7051,28793,427,13996,65061,35844,1.77,7.24,12.47,33.62,3.25,16.52,18.41,2065,73943,18149,66749,10288,66487,73142,43491,2642,24790,73943,78.16,73.21,90.27,89.92,98.92,87.56,16.6,84.46,2319,17472,6784,16282,16305,12732,1884,13.27,10.78,93.32,93.19,72.87
